SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
0,5,27.43,137.15,Male,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card,Yes
0,42,38.28,1607.76,Female,No,No,Yes,No phone service,DSL,Yes,Yes,No,No,No internet service,No internet service,Two year,No,Electronic check,Yes
0,61,106.44,6492.84,Male,No,No,Yes,No phone service,No,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer,Yes
1,22,92.49,2034.78,Male,No,Yes,Yes,No,No,No internet service,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,No
1,21,19.63,412.23,Male,Yes,Yes,No,No,DSL,No,No,No internet service,No,No,No internet service,One year,No,Bank transfer,Yes
0,70,43.21,3024.7,Female,Yes,No,Yes,No phone service,No,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,No
1,1,39.8,39.8,Male,Yes,No,No,No,DSL,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Credit card,Yes
1,5,45.47,227.35,Male,No,Yes,No,Yes,No,No,No,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card,No
1,12,43.13,517.56,Male,No,Yes,No,Yes,DSL,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,No
1,46,24.53,1128.38,Female,No,No,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,Yes
1,34,64.37,2188.58,Male,Yes,Yes,Yes,Yes,No,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer,Yes
0,49,91.89,4502.61,Male,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Credit card,No
1,45,79.23,3565.35,Male,No,Yes,Yes,No phone service,No,Yes,Yes,No internet service,No,No,Yes,Two year,Yes,Electronic check,No
0,27,85.87,2318.49,Male,No,No,No,No phone service,No,No internet service,No,Yes,No internet service,No,No internet service,Month-to-month,No,Electronic check,Yes
0,26,26.41,686.66,Female,No,No,No,Yes,Fiber optic,No,No internet service,No,No internet service,No,No,Two year,No,Bank transfer,No
1,47,113.87,5351.89,Male,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No internet service,One year,No,Mailed check,No
0,56,102.52,5741.12,Female,Yes,No,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,No,One year,No,Bank transfer,No
0,63,99.16,6247.08,Female,No,No,No,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No,Yes,Two year,Yes,Credit card,Yes
0,48,100.96,4846.08,Female,Yes,No,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Credit card,No
1,61,111.99,6831.39,Male,Yes,No,No,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card,No
1,26,72.95,1896.7,Female,No,Yes,Yes,No phone service,DSL,No,No,No internet service,No internet service,No internet service,Yes,Two year,No,Credit card,No
0,36,38.38,1381.68,Male,No,Yes,Yes,No,DSL,Yes,Yes,No,No internet service,No,No,Month-to-month,No,Credit card,Yes
1,1,80.24,80.24,Female,Yes,Yes,No,No phone service,No,No,Yes,No internet service,No,No internet service,No,One year,No,Mailed check,Yes
1,8,92.91,743.28,Female,No,Yes,No,Yes,DSL,No,No internet service,No,Yes,No,Yes,Two year,No,Electronic check,No
1,52,92.41,4805.32,Female,Yes,Yes,No,No,DSL,No internet service,Yes,No,Yes,No internet service,No,Month-to-month,No,Bank transfer,Yes
1,47,70.66,3321.02,Female,No,Yes,No,Yes,No,No internet service,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer,No
0,56,25.13,1407.28,Female,Yes,Yes,Yes,Yes,No,Yes,Yes,No internet service,No,Yes,No internet service,One year,No,Credit card,Yes
0,14,55.55,777.7,Female,No,No,No,No phone service,No,No,No internet service,Yes,No,No,Yes,Two year,No,Bank transfer,Yes
1,28,110.79,3102.12,Female,Yes,No,No,Yes,DSL,No,Yes,No internet service,Yes,No internet service,Yes,One year,Yes,Credit card,No
1,2,76.99,153.98,Female,Yes,Yes,No,No phone service,DSL,No internet service,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,Yes
0,26,72.35,1881.1,Male,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,Yes
0,14,45.27,633.78,Male,No,No,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,No,No,Two year,Yes,Electronic check,Yes
1,59,55.28,3261.52,Female,Yes,Yes,No,No,No,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,No
0,56,108.23,6060.88,Female,Yes,Yes,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,Yes
1,7,85.23,596.61,Female,No,No,No,Yes,Fiber optic,Yes,No,No,Yes,No,No internet service,One year,Yes,Electronic check,Yes
1,3,97.38,292.14,Male,No,Yes,Yes,No phone service,No,Yes,No internet service,Yes,No,No internet service,Yes,Two year,No,Bank transfer,No
0,23,63.91,1469.93,Female,Yes,No,Yes,No phone service,No,No,Yes,No internet service,No,No internet service,No,Two year,Yes,Credit card,Yes
0,18,81.59,1468.62,Male,Yes,Yes,Yes,No,No,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card,Yes
1,38,43.21,1641.98,Male,No,No,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Bank transfer,Yes
1,15,89.15,1337.25,Male,No,No,No,No phone service,Fiber optic,No internet service,Yes,Yes,No,Yes,No,Two year,No,Electronic check,Yes
0,64,61.22,3918.08,Male,No,No,No,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer,Yes
1,28,62.73,1756.44,Male,No,Yes,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,No
0,39,83.51,3256.89,Female,No,No,Yes,No phone service,No,No,No,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,No
1,57,112.35,6403.95,Female,Yes,Yes,No,Yes,DSL,Yes,No,Yes,No,No internet service,No,Two year,Yes,Electronic check,Yes
0,17,24.68,419.56,Female,No,Yes,No,No phone service,No,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
0,44,101.14,4450.16,Female,Yes,Yes,No,Yes,Fiber optic,No,No internet service,No,Yes,Yes,No,Two year,No,Credit card,Yes
0,25,47.63,1190.75,Female,Yes,Yes,Yes,No phone service,No,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,No
1,17,62.86,1068.62,Male,Yes,No,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No,One year,Yes,Electronic check,No
1,13,20.45,265.85,Female,No,No,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Electronic check,Yes
0,25,48.51,1212.75,Female,Yes,Yes,No,No phone service,No,No internet service,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,Yes
1,68,68.76,4675.68,Male,Yes,Yes,No,No phone service,No,Yes,Yes,Yes,No internet service,No,No internet service,Two year,Yes,Bank transfer,No
0,10,23.9,239.0,Female,No,No,No,No,DSL,No internet service,No,No internet service,Yes,No internet service,No internet service,Two year,Yes,Credit card,Yes
0,67,67.61,4529.87,Male,Yes,Yes,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,No
1,18,111.42,2005.56,Female,Yes,No,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,No,Yes,One year,Yes,Credit card,No
1,34,28.84,980.56,Male,No,Yes,No,No,No,Yes,No internet service,No internet service,No,No,No,Month-to-month,No,Electronic check,Yes
0,8,95.08,760.64,Female,Yes,Yes,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No internet service,Month-to-month,No,Credit card,No
1,40,59.42,2376.8,Female,Yes,No,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Credit card,Yes
1,42,84.09,3531.78,Male,Yes,Yes,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,No,No,Two year,No,Mailed check,Yes
0,41,44.4,1820.4,Male,No,No,Yes,No phone service,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,Yes
0,6,34.28,205.68,Male,No,Yes,No,No phone service,DSL,Yes,Yes,Yes,No internet service,No,Yes,Two year,Yes,Bank transfer,Yes
1,52,34.38,1787.76,Male,No,Yes,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No internet service,Two year,Yes,Credit card,Yes
0,26,25.33,658.58,Male,Yes,Yes,Yes,No,No,No,No,Yes,No internet service,No,No,One year,Yes,Credit card,Yes
0,64,36.91,2362.24,Male,Yes,No,Yes,No,No,No internet service,No,Yes,Yes,No,No internet service,One year,Yes,Bank transfer,No
1,59,85.0,5015.0,Male,No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,Two year,No,Bank transfer,No
0,56,106.86,5984.16,Male,Yes,Yes,No,No,DSL,Yes,No,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,No
0,59,100.07,5904.13,Female,Yes,Yes,No,No,DSL,No,Yes,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,No
1,70,87.11,6097.7,Female,No,Yes,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Credit card,Yes
1,33,29.35,968.55,Male,No,No,Yes,No,DSL,Yes,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,No
0,53,47.31,2507.43,Female,Yes,No,Yes,No,No,No internet service,No internet service,No,Yes,No internet service,No internet service,One year,No,Credit card,No
0,22,49.39,1086.58,Female,Yes,Yes,Yes,Yes,No,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Credit card,No
1,21,43.37,910.77,Female,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer,Yes
1,70,70.01,4900.7,Female,No,Yes,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,No
1,70,72.07,5044.9,Male,No,Yes,No,No phone service,No,No internet service,Yes,No internet service,No,No,No internet service,One year,Yes,Credit card,Yes
1,4,54.12,216.48,Female,No,Yes,Yes,No phone service,No,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,No
0,62,53.81,3336.22,Male,No,No,No,Yes,DSL,No internet service,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer,Yes
